TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
14.089999999999977,1,36,0,70.0,0,81.0,1.0,5112.21,1
376.24,1,15,0,68.0,0,141.0,1.0,13758.91,0
126.29,1,23,2,19.0,3,56.0,1.0,1122.35,0
184.5,1,33,2,26.0,3,25.0,1.0,8569.06,1
13.449999999999989,0,1,2,26.0,3,198.0,1.0,7429.4,2
92.15,1,28,0,18.0,3,172.0,1.0,781.6800000000003,1
7.079999999999984,0,39,0,37.0,0,139.0,1.0,13316.71,1
171.42,0,16,1,67.0,2,291.0,1.0,2796.24,0
106.23000000000002,0,11,1,51.0,1,86.0,1.0,9095.14,2
815.96,1,26,0,55.0,0,120.0,1.0,1021.8799999999997,0
17.78000000000003,0,0,2,52.0,1,59.0,1.0,7599.52,2
190.02000000000004,1,22,2,21.0,3,173.0,1.0,1528.81,0
494.52,0,23,1,24.0,3,111.0,1.0,1620.02,0
781.76,1,22,0,26.0,3,123.0,1.0,189.6899999999996,0
166.99,1,21,2,18.0,3,134.0,1.0,299.9300000000003,0
465.45,1,10,0,36.0,1,129.0,1.0,3465.54,2
555.8,0,2,1,19.0,3,158.0,1.0,1131.2600000000002,2
492.93,1,8,2,39.0,1,234.0,1.0,5109.97,2
18.680000000000007,0,0,1,59.0,2,106.0,1.0,7948.37,2
71.47999999999999,0,8,2,18.0,3,169.0,1.0,6568.59,2
59.31999999999999,1,20,1,71.0,2,38.0,1.0,5750.89,0
85.76999999999998,1,19,1,38.0,0,93.0,1.0,9146.19,0
52.19999999999999,1,1,2,39.0,1,120.0,1.0,8974.93,2
345.84,1,13,2,22.0,3,142.0,3.0,1402.5,2
145.54,1,33,2,21.0,3,96.0,1.0,1930.96,1
7.490000000000009,0,15,2,65.0,2,276.0,1.0,3634.67,0
246.93,1,24,0,23.0,3,158.0,5.0,673.3500000000004,0
40.31999999999999,1,25,1,37.0,1,95.0,1.0,2686.52,0
127.45,1,19,2,44.0,0,197.0,1.0,1772.06,0
56.170000000000016,1,11,1,27.0,3,283.0,1.0,1351.69,2
28.31,0,24,2,59.0,0,20.0,1.0,8334.47,0
59.120000000000005,1,3,0,29.0,0,257.0,1.0,9823.64,2
396.45,1,27,0,49.0,1,168.0,3.0,9690.15,0
